iter	RMSE
0	0.5983726543
1	0.5782687315
2	0.5586612416
3	0.5419772141
4	0.5249483221
5	0.5074047951
6	0.4916612643
7	0.477390204
8	0.4629246553
9	0.4506114226
10	0.439322583
11	0.4270619386
12	0.4150820732
13	0.4042265277
14	0.3940973557
15	0.385521462
16	0.3764702727
17	0.3681274916
18	0.3601004356
19	0.3527410763
20	0.3453371882
21	0.3389557273
22	0.3327041493
23	0.3272895668
24	0.3214693544
25	0.3153803427
26	0.3092160558
27	0.3045893806
28	0.3001980516
29	0.295891293
30	0.2909024494
31	0.2861368889
32	0.2821683159
33	0.2783492771
34	0.2749409452
35	0.271816158
36	0.2686078404
37	0.2652302399
38	0.262061157
39	0.2595578464
40	0.2571377567
41	0.2544999239
42	0.2523543813
43	0.2504391702
44	0.248223692
45	0.2460122324
46	0.2434938682
47	0.2415226307
48	0.2398439027
49	0.2376066979
50	0.235619204
51	0.2333544034
52	0.2317231277
53	0.2296030712
54	0.2278111708
55	0.2264445702
56	0.2250500229
57	0.2240072602
58	0.2229566362
59	0.2216718841
60	0.2204630589
61	0.2195477483
62	0.2187130939
63	0.2174567718
64	0.2165250076
65	0.2153540478
66	0.2145256531
67	0.2137327113
68	0.2128937108
69	0.2121486637
70	0.2110841523
71	0.2102583527
72	0.2094535313
73	0.2086400898
74	0.2080266565
75	0.2073805614
76	0.2065695195
77	0.2058644861
78	0.2050885664
79	0.2045787353
80	0.2036872696
81	0.2031602592
82	0.2026709976
83	0.2021044666
84	0.201536425
85	0.2011029975
86	0.2007494895
87	0.2003463132
88	0.199739539
89	0.1993122055
90	0.1988354145
91	0.1982381521
92	0.1978165224
93	0.1974737356
94	0.1967963852
95	0.1963814592
96	0.1960708223
97	0.1955865536
98	0.1949449744
99	0.1945060366
100	0.1939991333
101	0.1936200059
102	0.1931159794
103	0.192614983
104	0.1921286763
105	0.1917058081
106	0.1913991813
107	0.1910042997
108	0.1905612794
109	0.1901412692
110	0.1898743548
111	0.189540473
112	0.1891306726
113	0.1887446464
114	0.1882284943
115	0.1880437782
116	0.1876474981
117	0.1872158868
118	0.18692635
119	0.1866227725
120	0.1860430442
121	0.1854121784
122	0.185140367
123	0.1848242147
124	0.1843643972
125	0.1841646937
126	0.18386304
127	0.1835460267
128	0.1831321585
129	0.1827485677
130	0.182468693
131	0.1823004032
132	0.1818607696
133	0.1812387155
134	0.1807461793
135	0.1802317357
136	0.179860814
137	0.1795454722
138	0.1792915743
139	0.1788141706
140	0.1785688766
141	0.1780532533
142	0.1776330561
143	0.1773952267
144	0.1770906603
145	0.1768554569
146	0.1763366944
147	0.1759492885
148	0.175596849
149	0.1751585441
150	0.1747309548
151	0.1741332761
152	0.1739176337
153	0.173690288
154	0.1734589784
155	0.173088165
156	0.1728874812
157	0.1725115242
158	0.1721925698
159	0.1720325584
160	0.1718034774
161	0.171263489
162	0.1710250559
163	0.1707985161
164	0.1705451195
165	0.1703611117
166	0.1699071446
167	0.169638257
168	0.1691790023
169	0.1687104446
170	0.1685375471
171	0.1683122968
172	0.1679872081
173	0.1678294708
174	0.1674838875
175	0.1670553677
176	0.1667421338
177	0.1665585216
178	0.1663563355
179	0.1660620735
180	0.1658336943
181	0.1657079135
182	0.1654394937
183	0.1652484363
184	0.1648937073
185	0.1646540375
186	0.1644716677
187	0.163985622
188	0.1636717579
189	0.163359348
190	0.1630843854
191	0.1628397748
192	0.1625583088
193	0.1623395652
194	0.1620703144
195	0.1618461263
196	0.1615605255
197	0.1614001044
198	0.1612626402
199	0.1608003585
200	0.1605213664
201	0.1602086569
202	0.1598648527
203	0.159650542
204	0.159478491
205	0.1593078427
206	0.1588891223
207	0.15853739
208	0.158355164
209	0.1580917606
210	0.1579813187
211	0.1577750608
212	0.1575722349
213	0.1574240034
214	0.1571746439
215	0.156936995
216	0.1564631292
217	0.1561328974
218	0.1560154949
219	0.1556924428
220	0.1554433103
221	0.1552774188
222	0.1551442747
223	0.1549829603
224	0.1548191288
225	0.1545206631
226	0.1541406365
227	0.1538211637
228	0.1534206955
229	0.153202987
230	0.1528351659
231	0.1525649277
232	0.1522495414
233	0.1520418327
234	0.1517900077
235	0.1516458808
236	0.1514259368
237	0.1512393678
238	0.1508979533
239	0.1507034774
240	0.1504775205
241	0.1504009872
242	0.1502657682
243	0.1500556215
244	0.1496403214
245	0.1495325653
246	0.1493241786
247	0.1491252369
248	0.1486723417
249	0.1484138031
250	0.1481665955
251	0.1478650628
252	0.1476981657
253	0.1476136253
254	0.1474441634
255	0.1472844772
256	0.1471967528
257	0.147063614
258	0.1468914477
259	0.1466726284
260	0.1464845181
261	0.146392362
262	0.1462359938
263	0.1458899806
264	0.1457040514
265	0.1455182597
266	0.1451713552
267	0.1449245771
268	0.1448205993
269	0.144707613
270	0.1445665223
271	0.1444238675
272	0.144292324
273	0.1441952726
274	0.1438534156
275	0.1436509456
276	0.1433931059
277	0.1430438868
278	0.1428749041
279	0.1426798071
280	0.1424324017
281	0.1423616001
282	0.1423056603
283	0.1421947798
284	0.1419775516
285	0.1418063037
286	0.1416776541
287	0.1414487737
288	0.1413043723
289	0.1410724758
290	0.1408008076
291	0.14065006
292	0.1404762986
293	0.1403453728
294	0.1402061191
295	0.1400952546
296	0.1399941138
297	0.1398306586
298	0.1396094934
299	0.1394122642
300	0.1393204744
301	0.1391709663
302	0.139022599
303	0.1389138291
304	0.1388039425
305	0.1385843059
306	0.138321297
307	0.1381461138
308	0.1380612459
309	0.1378306479
310	0.1376408944
311	0.1374395449
312	0.1371588788
313	0.1369810475
314	0.1368852848
315	0.1367856573
316	0.1367195042
317	0.1366112852
318	0.1365072979
319	0.1363350312
320	0.1362661592
321	0.1361162576
322	0.1360039999
323	0.1359070808
324	0.135866831
325	0.1356864529
326	0.1354043284
327	0.1352641516
328	0.1349917804
329	0.1347434066
330	0.1344626957
331	0.1343809748
332	0.1342393788
333	0.1341013639
334	0.1339488139
335	0.1338751552
336	0.133684174
337	0.133508737
338	0.1333688633
339	0.1332863267
340	0.1331228365
341	0.1329686549
342	0.1328420959
343	0.1326726836
344	0.1324284412
345	0.1323127506
346	0.1320694747
347	0.1318477495
348	0.1316228112
349	0.1315566099
350	0.1314676116
351	0.1312730916
352	0.1311931174
353	0.1310239379
354	0.1308309083
355	0.130671008
356	0.1304627388
357	0.1302072523
358	0.1300906614
359	0.1299675402
360	0.1298398825
361	0.1296559709
362	0.1294610132
363	0.1293419257
364	0.1291950853
365	0.1290505183
366	0.1287347074
367	0.1285618653
368	0.1283772043
369	0.1283020189
370	0.1281715285
371	0.1280279681
372	0.1279676411
373	0.1278041466
374	0.1277223019
375	0.1276626243
376	0.1275163865
377	0.1273796746
378	0.1273204624
379	0.1271791264
380	0.1270085045
381	0.1268954015
382	0.1265417414
383	0.1264576383
384	0.1264176828
385	0.1263419712
386	0.1262858208
387	0.1261460927
388	0.126080404
389	0.1259456957
390	0.1258430837
391	0.1257893374
392	0.1257432667
393	0.1256009443
394	0.1254362466
395	0.1253475209
396	0.1252716094
397	0.1252053269
398	0.12510494
399	0.1250263757
400	0.1249366016
401	0.1246094943
402	0.1243604158
403	0.1242956116
404	0.1242023418
405	0.1241023175
406	0.1239182389
407	0.1237912271
408	0.1236825364
409	0.123572544
410	0.123436574
411	0.1233611862
412	0.1231767395
413	0.1230442817
414	0.1229396466
415	0.1228525153
416	0.1227814405
417	0.1226103533
418	0.1225310568
419	0.1225131079
420	0.1224154564
421	0.1222369667
422	0.1221530599
423	0.1220909125
424	0.1219509639
425	0.1219117359
426	0.1217964491
427	0.1216678994
428	0.1216152534
429	0.1215142008
430	0.1214816191
431	0.1212991591
432	0.1212039203
