iter	Passed	Remaining
0	1	2675
1	1	2389
2	2	2127
3	3	1999
4	4	2001
5	4	1959
6	5	1904
7	6	1846
8	6	1796
9	7	1778
10	7	1771
11	8	1760
12	9	1738
13	9	1715
14	10	1685
15	10	1662
16	11	1625
17	11	1596
18	12	1559
19	12	1525
20	12	1490
21	13	1470
22	13	1454
23	14	1432
24	14	1409
25	14	1384
26	15	1366
27	15	1358
28	16	1357
29	16	1344
30	17	1331
31	17	1319
32	17	1308
33	18	1295
34	18	1281
35	19	1279
36	19	1284
37	20	1275
38	20	1263
39	20	1252
40	21	1244
41	21	1236
42	21	1224
43	22	1216
44	22	1209
45	22	1200
46	23	1191
47	23	1181
48	23	1175
49	24	1169
50	24	1161
51	24	1153
52	25	1147
53	25	1139
54	25	1133
55	26	1128
56	26	1123
57	26	1117
58	27	1110
59	27	1104
60	27	1099
61	28	1092
62	28	1086
63	28	1082
64	29	1078
65	29	1072
66	29	1068
67	30	1065
68	30	1060
69	30	1055
70	31	1051
71	31	1050
72	32	1048
73	32	1046
74	32	1043
75	33	1040
76	33	1036
77	33	1035
78	34	1035
79	34	1032
80	35	1030
81	35	1029
82	35	1026
83	36	1022
84	36	1019
85	36	1018
86	37	1014
87	37	1011
88	37	1008
89	38	1005
90	38	1002
91	38	1000
92	39	998
93	39	995
94	39	992
95	40	989
96	40	990
97	41	988
98	41	987
99	41	986
100	42	986
101	42	985
102	42	982
103	43	980
104	43	978
105	43	975
106	44	973
107	44	970
108	44	968
109	45	965
110	45	962
111	45	960
112	46	957
113	46	956
114	46	955
115	47	954
116	47	954
117	48	953
118	48	951
119	48	949
120	49	947
121	49	947
122	49	947
123	50	947
124	50	945
125	50	943
126	51	941
127	51	939
128	51	937
129	52	935
130	52	933
131	52	931
132	53	931
133	53	932
134	54	931
135	54	929
136	54	927
137	55	925
138	55	923
139	55	922
140	56	920
141	56	918
142	56	917
143	56	915
144	57	913
145	57	912
146	57	910
147	58	909
148	58	907
149	58	906
150	59	904
151	59	903
152	59	901
153	60	900
154	60	899
155	60	898
156	61	896
157	61	895
158	61	895
159	62	896
160	62	897
161	63	896
162	63	896
163	64	900
164	65	905
165	65	909
166	66	909
167	66	909
168	67	909
169	67	908
170	67	907
171	68	906
172	68	905
173	68	904
174	69	904
175	69	903
176	70	902
177	70	901
178	70	900
179	71	900
180	71	899
181	71	898
182	72	897
183	72	897
184	73	897
185	73	897
186	73	897
187	74	897
188	74	896
189	75	895
190	75	894
191	75	894
192	76	893
193	76	894
194	77	894
195	77	895
196	78	895
197	78	895
198	78	895
199	79	895
200	79	895
201	80	895
202	80	895
203	81	895
204	81	895
205	81	895
206	82	895
207	82	894
208	83	894
209	83	893
210	83	892
211	84	891
212	84	891
213	84	890
214	85	890
215	85	890
216	86	891
217	86	890
218	87	889
219	87	889
220	87	889
221	88	888
222	88	887
223	88	887
224	89	886
225	89	885
226	90	884
227	90	884
228	90	884
229	91	885
230	91	885
231	92	885
232	92	886
233	93	886
234	93	886
235	94	886
236	94	886
237	94	885
238	95	885
239	95	884
240	96	884
241	96	884
242	96	884
243	97	883
244	97	883
245	98	884
246	98	884
247	99	884
248	99	883
249	100	883
250	100	883
251	100	883
252	101	883
253	101	883
254	102	882
255	102	882
256	102	882
257	103	881
258	103	881
259	104	880
260	104	880
261	104	879
262	105	878
263	105	877
264	105	877
265	106	876
266	106	877
267	107	877
268	107	877
269	108	877
270	108	877
271	109	877
272	109	877
273	110	876
274	110	876
275	110	875
276	111	874
277	111	874
278	111	874
279	112	874
280	112	874
281	113	873
282	113	873
283	113	872
284	114	871
285	114	871
286	115	870
287	115	869
288	115	869
289	116	868
290	116	867
291	116	866
292	117	866
293	117	865
294	117	864
295	118	864
296	118	863
297	119	862
298	119	862
299	119	861
300	120	860
301	120	860
302	121	860
303	121	861
304	121	860
305	122	860
306	122	860
307	123	859
308	123	859
309	123	858
310	124	858
311	124	857
312	125	856
313	125	856
314	125	855
315	126	854
316	126	854
317	127	854
318	127	854
319	127	853
320	128	853
321	128	852
322	128	851
323	129	851
324	129	850
325	129	850
326	130	849
327	130	848
328	131	848
329	131	847
330	131	847
331	132	846
332	132	846
333	133	845
334	133	845
335	133	844
336	134	844
337	134	843
338	134	843
339	135	842
340	135	842
341	136	842
342	136	842
343	137	842
344	137	842
345	138	842
346	138	842
347	138	842
348	139	841
349	139	840
350	139	840
351	140	839
352	140	839
353	141	839
354	141	838
355	141	838
356	142	837
357	142	837
358	143	836
359	143	836
360	143	835
361	144	834
362	144	834
363	144	833
364	145	833
365	145	832
366	146	831
367	146	831
368	146	830
369	147	830
370	147	829
371	147	828
372	148	828
373	148	827
374	148	827
375	149	826
376	149	826
377	150	826
378	150	826
379	151	826
380	151	826
381	151	825
382	152	826
383	152	825
384	153	825
385	153	825
386	154	824
387	154	824
388	154	823
389	155	823
390	155	822
391	155	822
392	156	821
393	156	821
394	157	820
395	157	820
396	157	819
397	158	818
398	158	818
399	159	818
400	159	818
401	159	818
402	160	817
403	160	817
404	161	816
405	161	815
406	161	815
407	162	814
408	162	814
409	162	813
410	163	813
411	163	812
412	163	812
413	164	812
414	165	812
415	165	811
416	165	811
417	166	810
418	166	810
419	167	810
420	167	810
421	168	810
422	168	810
423	168	810
424	169	810
425	169	810
426	170	809
427	170	809
428	171	809
429	171	808
430	171	808
431	172	808
432	172	808
433	173	808
434	173	808
435	174	808
436	174	807
437	175	807
438	175	807
439	175	806
440	176	806
441	176	805
442	177	805
443	177	805
444	177	805
445	178	804
446	178	804
447	179	803
448	179	803
449	179	802
450	180	801
451	180	801
452	180	800
453	181	800
454	181	800
455	182	800
456	182	800
457	183	800
458	183	800
459	184	799
460	184	799
461	185	799
462	185	799
463	186	799
464	186	799
465	186	799
466	187	798
467	187	798
468	188	797
469	188	797
470	188	796
471	189	796
472	189	795
473	190	795
474	190	794
475	190	794
476	191	793
477	191	793
478	191	792
479	192	792
480	192	791
481	192	790
482	193	790
483	193	789
484	194	789
485	194	788
486	194	788
487	195	788
488	195	787
489	196	787
490	196	787
491	196	787
492	197	786
493	197	786
494	198	786
495	198	785
496	199	785
497	199	785
498	200	785
499	200	784
500	200	784
501	201	783
502	201	783
503	201	782
504	202	782
505	202	782
506	203	782
507	203	781
508	204	781
509	204	780
510	204	780
511	205	779
512	205	779
513	205	779
514	206	778
515	206	778
516	207	777
517	207	777
518	207	776
519	208	776
520	208	776
521	209	775
522	209	775
523	209	774
524	210	774
525	210	773
526	211	773
527	211	773
528	212	773
529	212	772
530	212	772
531	213	771
532	213	771
533	213	770
534	214	770
535	214	770
536	215	769
537	215	769
538	215	768
539	216	767
540	216	767
541	216	766
542	217	766
543	217	765
544	218	765
545	218	764
546	218	764
547	219	763
548	219	763
549	219	762
550	220	762
551	220	761
552	220	760
553	221	760
554	221	759
555	221	759
556	222	758
557	222	758
558	222	757
559	223	756
560	223	756
561	224	755
562	224	755
563	224	754
564	225	754
565	225	754
566	226	753
567	226	753
568	226	753
569	227	752
570	227	752
571	228	751
572	228	751
573	228	750
574	229	750
575	229	749
576	229	749
577	230	748
578	230	748
579	230	747
580	231	747
581	231	746
582	232	746
583	232	745
584	232	745
585	233	744
586	233	743
587	233	743
588	234	742
589	234	742
590	234	741
591	235	741
592	235	740
593	235	740
594	236	739
595	236	739
596	237	738
597	237	738
598	237	737
599	238	737
600	238	736
601	238	736
602	239	735
603	239	735
604	239	734
605	240	734
606	240	733
607	241	733
608	241	733
609	241	733
610	242	732
611	242	732
612	243	731
613	243	731
614	243	730
615	244	730
616	244	730
617	245	729
618	245	729
619	245	728
620	246	728
621	246	727
622	246	727
623	247	726
624	247	726
625	247	725
626	248	725
627	248	724
628	249	724
629	249	723
630	249	723
631	250	722
632	250	722
633	250	721
634	251	721
635	251	720
636	251	720
637	252	719
638	252	719
639	252	718
640	253	718
641	253	717
642	254	717
643	254	716
644	254	716
645	255	715
646	255	715
647	255	714
648	256	714
649	256	714
650	257	714
651	257	713
652	258	713
653	258	713
654	258	712
655	259	712
656	259	711
657	260	711
658	260	711
659	260	710
660	261	710
661	261	709
662	262	709
663	262	709
664	262	708
665	263	708
666	263	708
667	264	707
668	264	707
669	264	706
670	265	706
671	265	705
672	266	705
673	266	705
674	266	704
675	267	704
676	267	703
677	267	703
678	268	702
679	268	702
680	268	701
681	269	700
682	269	700
683	269	699
684	270	699
685	270	699
686	270	698
687	271	698
688	271	698
689	272	697
690	272	697
691	273	697
692	273	696
693	274	696
694	274	696
695	274	695
696	275	695
697	275	695
698	276	694
699	276	694
700	276	694
701	277	693
702	277	693
703	278	692
704	278	692
705	278	691
706	279	691
707	279	690
708	279	690
709	280	690
710	280	689
711	281	689
712	281	688
713	281	688
714	282	687
715	282	687
716	282	686
717	283	686
718	283	685
719	283	685
720	284	684
721	284	684
722	285	683
723	285	683
724	285	682
725	286	682
726	286	682
727	286	681
728	287	681
729	287	681
730	288	680
731	288	680
732	288	679
733	289	679
