laptop_ID,Company,TypeName,OpSys,Full_HD,IPS_Panel,Touchscreen,4K_Ultra_HD,Retina_Display,Quad_HDplus,PPI,Ram_GB,Weight_kg,SSD,HDD,Flash_Storage,Hybrid,Memory_GB,cpu_marca,cpu_familia,cpu_ghz,brand_gpu,family_gpu
1118,HP,Workstation,Windows 7,1,1,0,0,0,0,127.33567457123111,8,3.0,0,1,0,0,1024,Intel,I7,2.6,AMD,FirePro
153,Dell,Gaming,Windows 10,1,0,0,0,0,0,141.21199808219862,16,2.56,1,0,0,0,512,Intel,I7,2.8,Nvidia,GeForce
275,Apple,Ultrabook,macOS,0,1,0,0,1,0,226.98300468106115,8,1.37,1,0,0,0,512,Intel,I5,2.9,Intel,Iris
1100,HP,Notebook,Windows 7,1,0,0,0,0,0,157.3505121487356,4,1.54,0,1,0,0,500,Intel,I5,2.3,Intel,HD Graphics
131,Dell,Notebook,Windows 10,1,0,0,0,0,0,127.33567457123111,16,2.8,1,1,0,0,2304,Intel,I7,1.8,AMD,Radeon
1126,Dell,Notebook,Windows 7,0,0,0,0,0,0,100.45466986113651,4,2.24,0,1,0,0,500,Intel,I5,2.3,AMD,Radeon
203,HP,Notebook,Windows 10,1,0,0,0,0,0,127.33567457123111,8,2.5,1,0,0,0,256,Intel,I7,1.8,Nvidia,GeForce
853,Dell,Notebook,Windows 10,0,0,0,0,0,0,100.45466986113651,8,2.18,1,0,0,0,128,Intel,I5,2.5,Intel,HD Graphics
1244,Dell,Ultrabook,Windows 10,0,0,1,0,0,1,276.053530085501,8,1.29,1,0,0,0,256,Intel,I7,2.7,Intel,HD Graphics
585,MSI,Gaming,Windows 10,1,0,0,0,0,0,127.33567457123111,16,4.14,1,1,0,0,1536,Intel,I7,2.9,Nvidia,GeForce
819,HP,Gaming,Windows 10,1,1,0,0,0,0,127.33567457123111,12,3.74,0,1,0,0,1024,Intel,I7,2.8,AMD,Radeon
438,Lenovo,Notebook,Windows 10,1,1,0,0,0,0,165.6321180513006,8,1.4,1,0,0,0,256,Intel,I7,2.7,Intel,HD Graphics
296,Asus,Gaming,Windows 10,1,0,0,0,0,0,127.33567457123111,8,3.0,0,1,0,0,1024,Intel,I7,2.8,Nvidia,GeForce
993,Asus,Gaming,Windows 10,1,0,0,0,0,0,127.33567457123111,16,2.99,1,1,0,0,1280,Intel,I7,2.8,Nvidia,GeForce
898,Asus,Gaming,Windows 10,1,0,0,0,0,0,127.33567457123111,12,2.2,1,1,0,0,1152,Intel,I5,2.5,Nvidia,GeForce
831,Lenovo,Ultrabook,Windows 10,1,1,0,0,0,0,157.3505121487356,8,1.13,1,0,0,0,512,Intel,I7,2.7,Intel,HD Graphics
326,Lenovo,Notebook,Windows 10,0,0,0,0,0,0,106.11306214269258,4,2.79,0,1,0,0,1024,Intel,I5,2.5,Nvidia,GeForce
543,Dell,Notebook,Windows 10,1,0,0,0,0,0,141.21199808219862,8,2.2,1,0,0,0,256,Intel,I5,1.6,AMD,Radeon
1203,Asus,Gaming,Windows 10,1,1,0,0,0,0,141.21199808219862,8,2.591,1,1,0,0,1280,Intel,I7,2.6,Nvidia,GeForce
202,HP,Gaming,Windows 10,1,1,0,0,0,0,127.33567457123111,16,3.35,1,1,0,0,1280,Intel,I7,2.8,Nvidia,GeForce
1184,Lenovo,Notebook,Windows 10,1,1,0,0,0,0,141.21199808219862,8,1.95,1,0,0,0,256,Intel,I5,2.5,Intel,HD Graphics
709,Lenovo,Notebook,Windows 10,1,0,0,0,0,0,141.21199808219862,4,2.2,1,0,0,0,256,AMD,Other,2.9,AMD,Radeon
